1081274;204;0;2,00;1
997733;204;0;2,00;1
997733;73;0;12,00;1
997770;204;0;40,00;1
1081275;204;0;71,30;1
1081275;73;0;17,00;1
997831;204;0;101,00;1
997831;73;0;18,00;1
716681;204;0;3,00;1
997870;204;0;47,00;1
997870;73;0;12,00;1
1081273;204;0;37,30;1
1081273;73;0;12,00;1
997802;204;0;70,30;1
997802;73;0;12,00;1
997792;204;0;18,00;1
997792;73;0;6,00;1
997817;204;0;56,30;1
997817;73;0;18,00;1
997934;204;0;50,30;1
997934;73;0;12,00;1
997747;204;0;16,00;1
997747;73;0;7,00;1
997767;204;0;23,30;1
997767;73;0;12,00;1
997791;204;0;36,00;1
997793;204;0;30,00;1
997793;73;0;6,00;1
997811;204;0;43,30;1
997811;73;0;6,00;1
997735;204;0;32,00;1
997735;73;0;9,00;1
998026;204;0;19,30;1
998026;73;0;14,00;1
997778;204;0;37,30;1
997778;73;0;18,30;1
997755;204;0;77,00;1
997759;204;0;51,00;1
997759;73;0;10,00;1
997737;204;0;28,00;1
997737;73;0;15,00;1
997748;204;0;72,00;1
997748;73;0;10,00;1
997765;204;0;66,00;1
997765;73;0;23,00;1
997775;204;0;41,00;1
997775;73;0;10,00;1
997787;204;0;63,00;1
997787;73;0;5,00;1
997788;204;0;80,00;1
997788;73;0;12,00;1
997781;204;0;15,00;1
997781;73;0;16,00;1
997731;204;0;2,00;1
997768;73;0;12,00;1
997846;204;0;44,00;1
997846;73;0;1,00;1
997786;204;0;12,00;1
997742;204;0;14,00;1
997857;204;0;78,00;1
997857;73;0;24,00;1
997704;204;0;72,00;1
997704;73;0;12,00;1
997859;204;0;96,00;1
997856;204;0;60,00;1
997856;73;0;24,00;1
994341;204;0;36,00;1
994341;73;0;12,00;1
997779;204;0;4,00;1
997766;204;0;5,30;1
997784;73;0;12,00;1
997782;204;0;74,00;1
997782;73;0;6,00;1
997752;204;0;9,30;1
997730;204;0;93,00;1
997730;73;0;16,00;1
997783;204;0;53,00;1
